Genus,species,,type,Synonym,other,Origin,Version,Source,NCBI Tax ID,URL,Ensembl
Capsaspora,owczarzaki,,ATCC 30864,,,,C_owczarzaki_V2,EnsemblProtists,595528,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_ichthyosporea1_collection/capsaspora_owczarzaki_atcc_30864/pep/Capsaspora_owczarzaki_atcc_30864.C_owczarzaki_V2.pep.all.fa.gz,protists_ichthyosporea1
Chroomonas,mesostigmatica,,CCMP1168,,,,ASM28609v1,EnsemblProtists,1195612,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_cryptophyta1_collection/chroomonas_mesostigmatica_ccmp1168/pep/Chroomonas_mesostigmatica_ccmp1168.ASM28609v1.pep.all.fa.gz,protists_cryptophyta1
Cryptomonas,paramecium,,,,,,ASM19445v1,EnsemblProtists,2898,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_cryptophyta1_collection/cryptomonas_paramecium/pep/Cryptomonas_paramecium.ASM19445v1.pep.all.fa.gz,protists_cryptophyta1
Cryptosporidium,andersoni,,,,,,ASM186535v1,EnsemblProtists,117008,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/cryptosporidium_andersoni/pep/Cryptosporidium_andersoni.ASM186535v1.pep.all.fa.gz,protists_alveolata1
Cryptosporidium,muris,,RN66,,,,JCVI-cmg-v1.0,EnsemblProtists,441375,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/cryptosporidium_muris_rn66/pep/Cryptosporidium_muris_rn66.JCVI-cmg-v1.0.pep.all.fa.gz,protists_alveolata1
Cryptosporidium,parvum,,,,,,ASM20969v1,EnsemblProtists,5807,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/cryptosporidium_parvum/pep/Cryptosporidium_parvum.ASM20969v1.pep.all.fa.gz,protists_alveolata1
Cryptosporidium,parvum,,Iowa II,,,,ASM16534v1,EnsemblProtists,353152,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/cryptosporidium_parvum_iowa_ii/pep/Cryptosporidium_parvum_iowa_ii.ASM16534v1.pep.all.fa.gz,protists_alveolata1
Cryptosporidium,ubiquitum,,,,,,ASM186534v1,EnsemblProtists,857276,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/cryptosporidium_ubiquitum/pep/Cryptosporidium_ubiquitum.ASM186534v1.pep.all.fa.gz,protists_alveolata1
Cyclospora,cayetanensis,,,,,,ASM76915v2,EnsemblProtists,88456,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/cyclospora_cayetanensis/pep/Cyclospora_cayetanensis.ASM76915v2.pep.all.fa.gz,protists_alveolata1
Dictyostelium,discoideum,,AX4,,,,dicty_2.7,EnsemblProtists,352472,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/dictyostelium_discoideum/pep/Dictyostelium_discoideum.dicty_2.7.pep.all.fa.gz,dictyostelium_discoideum
Dictyostelium,fasciculatum,,,,,,DFas_2.0,EnsemblProtists,261658,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/dictyostelium_fasciculatum/pep/Dictyostelium_fasciculatum.DFas_2.0.pep.all.fa.gz,protists_amoebozoa1
Dictyostelium,lacteum,,,,,,ASM160615v1,EnsemblProtists,361077,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/dictyostelium_lacteum/pep/Dictyostelium_lacteum.ASM160615v1.pep.all.fa.gz,protists_amoebozoa1
Dictyostelium,purpureum,,,,,,v1.0,EnsemblProtists,5786,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/dictyostelium_purpureum/pep/Dictyostelium_purpureum.v1.0.pep.all.fa.gz,protists_amoebozoa1
Eimeria,acervulina,,,,,,EAH001,EnsemblProtists,5801,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/eimeria_acervulina/pep/Eimeria_acervulina.EAH001.pep.all.fa.gz,protists_alveolata1
Eimeria,brunetti,,,,,,EBH001,EnsemblProtists,51314,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/eimeria_brunetti/pep/Eimeria_brunetti.EBH001.pep.all.fa.gz,protists_alveolata1
Eimeria,maxima,,,,,,EMW001,EnsemblProtists,5804,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/eimeria_maxima/pep/Eimeria_maxima.EMW001.pep.all.fa.gz,protists_alveolata1
Eimeria,mitis,,,,,,EMH001,EnsemblProtists,44415,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/eimeria_mitis/pep/Eimeria_mitis.EMH001.pep.all.fa.gz,protists_alveolata1
Eimeria,necatrix,,,,,,ENH001,EnsemblProtists,51315,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/eimeria_necatrix/pep/Eimeria_necatrix.ENH001.pep.all.fa.gz,protists_alveolata1
Eimeria,praecox,,,,,,EPH001,EnsemblProtists,51316,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/eimeria_praecox/pep/Eimeria_praecox.EPH001.pep.all.fa.gz,protists_alveolata1
Eimeria,tenella,,,,,,ASM283v1,EnsemblProtists,5802,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/eimeria_tenella/pep/Eimeria_tenella.ASM283v1.pep.all.fa.gz,protists_alveolata1
Emiliania,huxleyi,,CCMP1516,,,,v1.0,EnsemblProtists,280463,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/emiliania_huxleyi/pep/Emiliania_huxleyi.Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0.pep.all.fa.gz,emiliania_huxleyi
Entamoeba,dispar,,SAW760,,,,JCVI_EDISG_1.0,EnsemblProtists,370354,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/entamoeba_dispar_saw760/pep/Entamoeba_dispar_saw760.JCVI_EDISG_1.0.pep.all.fa.gz,protists_amoebozoa1
Entamoeba,histolytica,,HM-1:IMSS,,,,JCVI-ESG2-1.0,EnsemblProtists,294381,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/entamoeba_histolytica_gca_001662325/pep/Entamoeba_histolytica_gca_001662325.Ehistolytica_2016.pep.all.fa.gz,entamoeba_histolytica
Entamoeba,histolytica,,,,,,Ehistolytica_2016,EnsemblProtists,5759,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/entamoeba_histolytica/pep/Entamoeba_histolytica.JCVI-ESG2-1.0.pep.all.fa.gz,protists_amoebozoa1
Entamoeba,histolytica,,HM-1:IMSS-A,,,,EHA_CA v1,EnsemblProtists,885318,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/entamoeba_histolytica_hm_1_imss_a/pep/Entamoeba_histolytica_hm_1_imss_a.EHA_CA_v1.pep.all.fa.gz,protists_amoebozoa1
Entamoeba,histolytica,,HM-1:IMSS-B,,,,EHA_CB v1,EnsemblProtists,885319,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/entamoeba_histolytica_hm_1_imss_b/pep/Entamoeba_histolytica_hm_1_imss_b.EHA_CB_v1.pep.all.fa.gz,protists_amoebozoa1
Entamoeba,histolytica,,HM-3:IMSS,,,,EHA.strHM3 v1,EnsemblProtists,885315,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/entamoeba_histolytica_hm_3_imss/pep/Entamoeba_histolytica_hm_3_imss.EHA.strHM3_v1.pep.all.fa.gz,protists_amoebozoa1
Entamoeba,histolytica,,KU27,,,,EHA_ku27 v1,EnsemblProtists,885311,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/entamoeba_histolytica_ku27/pep/Entamoeba_histolytica_ku27.EHA_ku27_v1.pep.all.fa.gz,protists_amoebozoa1
Entamoeba,invadens,,IP1,,,,EIA2 v2,EnsemblProtists,370355,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/entamoeba_invadens_ip1/pep/Entamoeba_invadens_ip1.EIA2_v2.pep.all.fa.gz,protists_amoebozoa1
Entamoeba,nuttalli,,P19,,,,ENU1 v1,EnsemblProtists,1076696,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_amoebozoa1_collection/entamoeba_nuttalli_p19/pep/Entamoeba_nuttalli_p19.ENU1_v1.pep.all.fa.gz,protists_amoebozoa1
Fonticula,alba,,,,,,Font_alba_ATCC_38817_V2,EnsemblProtists,691883,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_nucleariidaeandfonticulagroup1_collection/fonticula_alba_gca_000388065/pep/Fonticula_alba_gca_000388065.Font_alba_ATCC_38817_V2.pep.all.fa.gz,protists_nucleariidaeandfonticulagroup1
Giardia,intestinalis,,,,,,ASM49873v1,EnsemblProtists,5741,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_fornicata1_collection/giardia_intestinalis/pep/Giardia_intestinalis.ASM49873v1.pep.all.fa.gz,protists_fornicata1
Giardia,intestinalis,,ATCC 50581,,,,ASM18240v1,EnsemblProtists,598745,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_fornicata1_collection/giardia_intestinalis_atcc_50581/pep/Giardia_intestinalis_atcc_50581.ASM18240v1.pep.all.fa.gz,protists_fornicata1
Giardia,intestinalis,,assemblage_B,,,,G_duodenalis_AssB_BAH15c1,EnsemblProtists,1394984,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_fornicata1_collection/giardia_intestinalis_assemblage_b/pep/Giardia_intestinalis_assemblage_b.G_duodenalis_AssB_BAH15c1.pep.all.fa.gz,protists_fornicata1
Giardia,lamblia,,ATCC 50803,,,,GL2,EnsemblProtists,184922,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/giardia_lamblia/pep/Giardia_lamblia.GL2.pep.all.fa.gz,giardia_lamblia
Giardia,lamblia,,P15,,,,ASM18266v1,EnsemblProtists,658858,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_fornicata1_collection/giardia_lamblia_p15/pep/Giardia_lamblia_p15.ASM18266v1.pep.all.fa.gz,protists_fornicata1
Gregarina,niphandrodes,,,,,,GNI3,EnsemblProtists,110365,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/gregarina_niphandrodes/pep/Gregarina_niphandrodes.GNI3.pep.all.fa.gz,protists_alveolata1
Guillardia,theta,,,,,,ASM297v1,EnsemblProtists,55529,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/guillardia_theta/pep/Guillardia_theta.Guith1.pep.all.fa.gz,protists_cryptophyta1
Guillardia,theta,,CCMP2712,,,,Guith1,EnsemblProtists,905079,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_cryptophyta1_collection/guillardia_theta_gca_000002975/pep/Guillardia_theta_gca_000002975.ASM297v1.pep.all.fa.gz,guillardia_theta
Hammondia,hammondi,,,,,,HHA1 v02,EnsemblProtists,99158,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/hammondia_hammondi/pep/Hammondia_hammondi.HHA1_v02.pep.all.fa.gz,protists_alveolata1
Hyaloperonospora,arabidopsidis,,Emoy2,,,,HyaAraEmoy2_2.0,EnsemblProtists,559515,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/hyaloperonospora_arabidopsidis/pep/Hyaloperonospora_arabidopsidis.HyaAraEmoy2_2.0.pep.all.fa.gz,hyaloperonospora_arabidopsidis
Ichthyophthirius,multifiliis,,,,,,JCVI-IMG1-V.1,EnsemblProtists,5932,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/ichthyophthirius_multifiliis/pep/Ichthyophthirius_multifiliis.JCVI-IMG1-V.1.pep.all.fa.gz,protists_alveolata1
Leishmania,braziliensis,,MHOM/BR/75/M2904,,,,ASM284v2,EnsemblProtists,420245,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/leishmania_braziliensis_mhom_br_75_m2904/pep/Leishmania_braziliensis_mhom_br_75_m2904.ASM284v2.pep.all.fa.gz,protists_euglenozoa1
Leishmania,donovani,,BPK282A1,,,,ASM22713v2,EnsemblProtists,981087,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/leishmania_donovani_bpk282a1/pep/Leishmania_donovani_bpk282a1.ASM22713v2.pep.all.fa.gz,protists_euglenozoa1
Leishmania,infantum,,JPCM5,,,,ASM287v2,EnsemblProtists,435258,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/leishmania_infantum_jpcm5/pep/Leishmania_infantum_jpcm5.ASM287v2.pep.all.fa.gz,protists_euglenozoa1
Leishmania,major,,strain Friedlin,,,,ASM272v2,EnsemblProtists,347515,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/leishmania_major/pep/Leishmania_major.ASM272v2.pep.all.fa.gz,leishmania_major
Leishmania,mexicana,,MHOM/GT/2001/U1103,,,,ASM23466v4,EnsemblProtists,929439,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/leishmania_mexicana_mhom_gt_2001_u1103/pep/Leishmania_mexicana_mhom_gt_2001_u1103.ASM23466v4.pep.all.fa.gz,protists_euglenozoa1
Leishmania,panamensis,,,,,,ASM75516v1,EnsemblProtists,5679,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/leishmania_panamensis/pep/Leishmania_panamensis.ASM75516v1.pep.all.fa.gz,protists_euglenozoa1
Leptomonas,pyrrhocoris,,,,,,ASM129339v1,EnsemblProtists,157538,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/leptomonas_pyrrhocoris/pep/Leptomonas_pyrrhocoris.ASM129339v1.pep.all.fa.gz,protists_euglenozoa1
Leptomonas,seymouri,,,,,,ASM129953v1,EnsemblProtists,5684,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/leptomonas_seymouri/pep/Leptomonas_seymouri.ASM129953v1.pep.all.fa.gz,protists_euglenozoa1
Lotharella,oceanica,,,,,,ASM69843v2,EnsemblProtists,641309,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_rhizaria1_collection/lotharella_oceanica/pep/Lotharella_oceanica.ASM69843v2.pep.all.fa.gz,protists_rhizaria1
Monosiga,brevicollis,,MX1,,,,V1.0,EnsemblProtists,431895,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_choanoflagellida1_collection/monosiga_brevicollis_mx1/pep/Monosiga_brevicollis_mx1.V1.0.pep.all.fa.gz,protists_choanoflagellida1
Naegleria,gruberi,,,,,,V1.0,EnsemblProtists,5762,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_heterolobosea1_collection/naegleria_gruberi/pep/Naegleria_gruberi.V1.0.pep.all.fa.gz,protists_heterolobosea1
Nannochloropsis,gaditana,,,,,,NagaB31_1.0,EnsemblProtists,72520,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/nannochloropsis_gaditana/pep/Nannochloropsis_gaditana.NagaB31_1.0.pep.all.fa.gz,protists_stramenopiles1
Nannochloropsis,gaditana,,CCMP526,,,,ASM24072v1,EnsemblProtists,1093141,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/nannochloropsis_gaditana_ccmp526/pep/Nannochloropsis_gaditana_ccmp526.ASM24072v1.pep.all.fa.gz,protists_stramenopiles1
Oxytricha,trifallax,,,,,,oxytricha_asm_v1.1,EnsemblProtists,1172189,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/oxytricha_trifallax/pep/Oxytricha_trifallax.oxytricha_asm_v1.1.pep.all.fa.gz,protists_alveolata1
Paramecium,tetraurelia,,,,,,ASM16542v1,EnsemblProtists,5888,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/paramecium_tetraurelia/pep/Paramecium_tetraurelia.ASM16542v1.pep.all.fa.gz,paramecium_tetraurelia
Paulinella,chromatophora,,,,,,ASM1792v1,EnsemblProtists,39717,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_rhizaria1_collection/paulinella_chromatophora/pep/Paulinella_chromatophora.ASM1792v1.pep.all.fa.gz,protists_rhizaria1
Perkinsela,sp,,CCAP 1560/4,,,,ASM123584v1,EnsemblProtists,1314962,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/perkinsela_sp_ccap_1560_4/pep/Perkinsela_sp_ccap_1560_4.ASM123584v1.pep.all.fa.gz,protists_euglenozoa1
Perkinsus,marinus,,ATCC_50983,,,,JCVI_PMG_1.0,EnsemblProtists,423536,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/perkinsus_marinus_atcc_50983/pep/Perkinsus_marinus_atcc_50983.JCVI_PMG_1.0.pep.all.fa.gz,protists_alveolata1
Phaeodactylum,tricornutum,,CCAP 1055/1,,,,ASM15095v2,EnsemblProtists,556484,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/phaeodactylum_tricornutum/pep/Phaeodactylum_tricornutum.ASM15095v2.pep.all.fa.gz,phaeodactylum_tricornutum
Phytomonas,sp,,Isolate EM1,,,,AKH_PRJEB1535_v1,EnsemblProtists,134006,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/phytomonas_sp_isolate_em1/pep/Phytomonas_sp_isolate_em1.AKH_PRJEB1535_v1.pep.all.fa.gz,protists_euglenozoa1
Phytomonas,sp,,Isolate Hart1,,,,AKI_PRJEB1539_v1,EnsemblProtists,134013,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_euglenozoa1_collection/phytomonas_sp_isolate_hart1/pep/Phytomonas_sp_isolate_hart1.AKI_PRJEB1539_v1.pep.all.fa.gz,protists_euglenozoa1
Phytophthora,infestans,,T30-4,,,,ASM14294v1,EnsemblProtists,403677,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/phytophthora_infestans/pep/Phytophthora_infestans.ASM14294v1.pep.all.fa.gz,phytophthora_infestans
Phytophthora,kernoviae,,00238/432,,,,PhyKer238/432v1,EnsemblProtists,1284355,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/phytophthora_kernoviae/pep/Phytophthora_kernoviae.PhyKer238_432v1.pep.all.fa.gz,phytophthora_kernoviae
Phytophthora,lateralis,,MPF4,,,,MPF4_v1.0,EnsemblProtists,1254522,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/phytophthora_lateralis/pep/Phytophthora_lateralis.MPF4_v1.0.pep.all.fa.gz,phytophthora_lateralis
Phytophthora,nicotianae,,,,,,ASM148298v1,EnsemblProtists,4790,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/phytophthora_nicotianae/pep/Phytophthora_nicotianae.ASM148298v1.pep.all.fa.gz,protists_stramenopiles1
Phytophthora,parasitica,,P1569,,,,Phyt_para_P1569_V1,EnsemblProtists,1317065,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/phytophthora_parasitica/pep/Phytophthora_parasitica.Phyt_para_P1569_V1.pep.all.fa.gz,phytophthora_parasitica
Phytophthora,parasitica,,CJ01A1,,,,Phyt_para_CJ01A1_V1,EnsemblProtists,1317063,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/phytophthora_parasitica_cj01a1/pep/Phytophthora_parasitica_cj01a1.Phyt_para_CJ01A1_V1.pep.all.fa.gz,protists_stramenopiles1
Phytophthora,parasitica,,INRA-310,,,,PP_INRA-310_V2,EnsemblProtists,761204,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/phytophthora_parasitica_inra_310/pep/Phytophthora_parasitica_inra_310.PP_INRA-310_V2.pep.all.fa.gz,protists_stramenopiles1
Phytophthora,parasitica,,P10297,,,,Phyt_para_P10297_V1,EnsemblProtists,1317064,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/phytophthora_parasitica_p10297/pep/Phytophthora_parasitica_p10297.Phyt_para_P10297_V1.pep.all.fa.gz,protists_stramenopiles1
Phytophthora,parasitica,,P1976,,,,Phyt_para_P1976_V1,EnsemblProtists,1317066,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_stramenopiles1_collection/phytophthora_parasitica_p1976/pep/Phytophthora_parasitica_p1976.Phyt_para_P1976_V1.pep.all.fa.gz,protists_stramenopiles1
Phytophthora,ramorum,,,,,,ASM14973v1,EnsemblProtists,164328,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/phytophthora_ramorum/pep/Phytophthora_ramorum.ASM14973v1.pep.all.fa.gz,phytophthora_ramorum
Phytophthora,sojae,,,,,,P.sojae V3.0,EnsemblProtists,67593,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/phytophthora_sojae/pep/Phytophthora_sojae.P_sojae_V3_0.pep.all.fa.gz,phytophthora_sojae
Plasmodiophora,brassicae,,,,,,pbe3.h15,EnsemblProtists,37360,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_rhizaria1_collection/plasmodiophora_brassicae/pep/Plasmodiophora_brassicae.pbe3.h15.pep.all.fa.gz,protists_rhizaria1
Plasmodium,berghei,,ANKA,,,,PBANKA01,EnsemblProtists,5823,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/plasmodium_berghei/pep/Plasmodium_berghei.PBANKA01.pep.all.fa.gz,plasmodium_berghei
Plasmodium,berghei,,,,,,ASM539v1,EnsemblProtists,5821,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/plasmodium_berghei_gca_900044335/pep/Plasmodium_berghei_gca_900044335.PbK173.pep.all.fa.gz,protists_alveolata1
Plasmodium,chabaudi,,chabaudi,,,,PCHAS01,EnsemblProtists,31271,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/plasmodium_chabaudi/pep/Plasmodium_chabaudi.PCHAS01.pep.all.fa.gz,plasmodium_chabaudi
Plasmodium,coatneyi,,,,,,ASM168000v1,EnsemblProtists,208452,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/plasmodium_coatneyi/pep/Plasmodium_coatneyi.ASM168000v1.pep.all.fa.gz,protists_alveolata1
Plasmodium,cynomolgi,,strain B,,,,PcynB_1.0,EnsemblProtists,1120755,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/protists_alveolata1_collection/plasmodium_cynomolgi_strain_b/pep/Plasmodium_cynomolgi_strain_b.PcynB_1.0.pep.all.fa.gz,protists_alveolata1
Plasmodium,falciparum,,3D7,,,,EPr 1,EnsemblProtists,36329,ftp://ftp.ensemblgenomes.org/pub/release-38/protists/fasta/plasmodium_falciparum/pep/Plasmodium_falciparum.EPr1.pep.all.fa.gz,plasmodium_falciparum
