Genus,species,,type,Synonym,other,Origin,Version,Source,NCBI Tax ID,URL
Chenopodium,quinoa,,,,,Phytozome,v1.0,,63459,https://genome.jgi.doe.gov/portal/Cquinoa/download/_JAMO/57bcd2937ded5e0c8712b082/Cquinoa_392_v1.0.protein.fa.gz
Chlamydomonas,reinhardtii,,,,,Phytozome,v5.5,,3055,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981ce00d87851ee9727d47/Creinhardtii_281_v5.5.protein.fa.gz
Chlorella,variabilis,NC64A,,,,Other,,,554065,https://genome.jgi.doe.gov/portal/ChlNC64A_1/download/Chlorella_NC64A.all_proteins.fasta.gz 
Chromochloris,zofingiensis,,,,,Phytozome,v5.2.3.2,,31302,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/591a8cd77ded5e1e49005e30/Czofingiensis_461_v5.2.3.2.protein.fa.gz
Cicer,arietinum,,,,,Phytozome,v1.0,,3827,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/59a4ae1a7ded5e41edd8dcdd/Carietinum_492_v1.0.protein.fa.gz
Citrus,clementina,,,,,Phytozome,v1.0,,85681,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cce0d87851ee9727cc9/Cclementina_182_v1.0.protein.fa.gz
Citrus,sinensis,,,,,Phytozome,v1.1,,2711,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cf30d87851ee9727daf/Csinensis_154_v1.1.protein.fa.gz
Coccomyxa,subellipsoidea,,C-169,,,Phytozome,v2.0,,574566,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cdd0d87851ee9727d2a/CsubellipsoideaC_169_227_v2.0.protein.fa.gz
Cucumis,sativus,,,,,Phytozome,v1.0,,3659,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cec0d87851ee9727d83/Csativus_122_v1.0.protein.fa.gz
Daucus,carota,,,,,Phytozome,v2.0,,4039,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5760db197ded5e5e73215556/Dcarota_388_v2.0.protein.fa.gz
Dunaliella,salina,,,,,Phytozome,v1.0,,3046,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56bcc05c7ded5e7ced8eed4f/Dsalina_325_v1.0.protein.fa.gz
Eucalyptus,grandis,,,,,Phytozome,v2.0,,71139,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/54ad8ddd0d8785565d4707cf/Egrandis_297_v2.0.protein.fa.gz
Eutrema,salsugineum,,,,,Phytozome,v1.0,,72664,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cdc0d87851ee9727d0c/Esalsugineum_173_v1.0.protein.fa.gz
Fragaria,vesca,,,,,Phytozome,v1.1,,57918,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cd10d87851ee9727cdd/Fvesca_226_v1.1.protein.fa.gz
Glycine,max,,Wm82.a2.,,,Phytozome,v1,,3847,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cf40d87851ee9727dc7/Gmax_275_Wm82.a2.v1.protein.fa.gz
Gossypium,raimondii,,,,,Phytozome,v2.1,,29730,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cdf0d87851ee9727d41/Graimondii_221_v2.1.protein.fa.gz
Gossypium,hirsutum,,,,,Phytozome,v1.1,,3635,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/58e68d4a7ded5e52c4b01aef/Ghirsutum_458_v1.1.protein.fa.gz
Helianthus,annuus,,r1.2,,,Phytozome,,,4232,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/59cd36887ded5e2f18695ad9/Hannuus_494_r1.2.protein.fa.gz
Hordeum,vulgare,,r1,,,Phytozome,,,4513,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/592f5bbd7ded5e4e5bbb8e83/Hvulgare_462_r1.protein.fa.gz
Kalanchoe,fedtschenkoi,,,,,Phytozome,v1.1,,63787,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/582caaec7ded5e2d305b2ad1/Kfedtschenkoi_382_v1.1.protein.fa.gz
Kalanchoe,laxiflora,,,,,Phytozome,v1.1,,1670617,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/582caaf07ded5e2d305b2add/Klaxiflora_309_v1.1.protein.fa.gz
Lactuca,sativa,,,,,Phytozome,V8,,4236,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/597faf627ded5e0452b3f3c7/Lsativa_467_v5.protein.fa.gz
Linum,usitatissimum,,,,,Phytozome,v1.0,,4006,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981ce20d87851ee9727d5b/Lusitatissimum_200_v1.0.protein.fa.gz
Malus,domestica,,,,,Phytozome,v1.0,,3750,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cd70d87851ee9727cf5/Mdomestica_196_v1.0.protein.fa.gz
Manihot,esculenta,,,,,Phytozome,v6.1,,3983,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/555a28fb0d8785178e713feb/Mesculenta_305_v6.1.protein.fa.gz
Marchantia,polymorpha,,,,,Phytozome,v3.1,,3197,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56ec87ee7ded5e7f7b93554f/Mpolymorpha_320_v3.1.protein.fa.gz
Medicago,truncatula,,Mt4.0,,,Phytozome,v1,,3880,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cdc0d87851ee9727d27/Mtruncatula_285_Mt4.0v1.protein.fa.gz
Micromonas,pusilla,,CCMP1545,,,Phytozome,v3.0,,564608,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cd80d87851ee9727cfe/MpusillaCCMP1545_228_v3.0.protein.fa.gz
Micromonas,sp.,,RCC299,,,Phytozome,v3.0,,296587,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981ce00d87851ee9727d57/MspRCC299_229_v3.0.protein.fa.gz
Mimulus,guttatus,,,,,Phytozome,v2.0,,4155,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981ced0d87851ee9727d8a/Mguttatus_256_v2.0.protein.fa.gz
Miscanthus,sinensis,,,,,Phytozome,v7.1,,62337,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5a5cfc297ded5e2d71407e4d/Msinensis_497_v7.1.protein.fa.gz
Musa,acuminata,,,,,Phytozome,v1,,4641,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/555a28f90d8785178e713fe0/Macuminata_304_v1.protein.fa.gz
Olea,europaea,var. sylvestris ,,,,Phytozome,v1.0,,158386,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/59e148fd7ded5e372ecbabed/Oeuropaea_451_v1.0.protein.fa.gz
Oropetium,thomaeum,,,,,Phytozome,v1.0,,1148796,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/575b4bcc7ded5e3df1ee6bf2/Othomaeum_386_v1.0.protein.fa.gz
Oryza,sativa,,,,,Phytozome,v7_JGI,,4530,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5693356b0d87851ee9726afc/Osativa_323_v7.0.protein.fa.gz
Ostreococcus,lucimarinus,,,,,Phytozome,v2.0,,242159,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cdf0d87851ee9727d33/Olucimarinus_231_v2.0.protein.fa.gz
Ostreococcus,sp.,,RCC809,,,Other,v2.0,,385169,https://genome.jgi.doe.gov/portal/OstRCC809_2/download/OstreococcusRCC809v2.allModels.proteins.fasta.gz
Ostreococcus,tauri,,,,,Other,v3.0,,70448,https://genome.jgi.doe.gov/portal/Ostta4221_3/download/Ostta4221_3_GeneCatalog_proteins_20161028.aa.fasta.gz
Panicum,virgatum,,,,,Phytozome,v1.1,,38727,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/585474977ded5e78cff8c4a6/Pvirgatum_273_v1.1.protein.fa.gz
Panicum,hallii,,,,,Phytozome,v3.1,,206008,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/59cd36907ded5e2f18695aed/Phallii_495_v3.1.protein.fa.gz
Panicum,hallii,var. hallii ,,,,Phytozome,v2.1,,1504633,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/59cd367f7ded5e2f18695ac8/PhalliiHAL_496_v2.1.protein.fa.gz
Panicum,virgatum,,,,,Phytozome,v4.1,,38727,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/587b0af07ded5e4229d885de/Pvirgatum_450_v4.1.protein.fa.gz
Phaseolus,vulgaris,,,,,Phytozome,v2.1,,3885,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/57fecb5f7ded5e3135bc3577/Pvulgaris_442_v2.1.protein.fa.gz
Physcomitrella,patens,,,,,Phytozome,v3.3,,3218,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56901c7b0d878508e3d1fc37/Ppatens_318_v3.3.protein.fa.gz
Populus,trichocarpa,,,,,Phytozome,v3.1,,3694,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/587b0ae57ded5e4229d885c0/Ptrichocarpa_444_v3.1.protein.fa.gz
Populus,deltoides,,WV94,,,Phytozome,v2.1,,3696,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/587b0ae07ded5e4229d885af/PdeltoidesWV94_445_v2.1.protein.fa.gz
Porphyra,umbilicalis,,,,,Phytozome,v1.5,,2786,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/597f9cbd7ded5e0452b3f376/Pumbilicalis_456_v1.5.protein.fa.gz
Prunus,persica,,,,,Phytozome,v2.1,,3760,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/54ad8ddc0d8785565d4707be/Ppersica_298_v2.1.protein.fa.gz
Ricinus,communis,,,,,Phytozome,v0.1,,3988,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cf40d87851ee9727dbc/Rcommunis_119_v0.1.protein.fa.gz
Salix,purpurea,,,,,Phytozome,v1.0,,77065,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56983e600d87851ee9727eb0/Spurpurea_289_v1.0.protein.fa.gz
Selaginella,moellendorffii,,,,,Phytozome,v1.0,,88036,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56901dc60d878508e3d1fdab/Smoellendorffii_91_v1.0.protein.fa.gz
Setaria,italica,,,,,Phytozome,v2.2,,4555,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56901c0a0d878508e3d1fbd5/Sitalica_312_v2.2.protein.fa.gz
Setaria,viridis,,,,,Phytozome,v2.1,,4556,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5a3972ee7ded5e35e94f8a3d/Sviridis_500_v2.1.protein.fa.gz
Solanum,lycopersicum,,,,,Phytozome,iTAG2.4,,4081,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5854745d7ded5e78cff8c485/Slycopersicum_390_ITAG2.4.protein.fa.gz
Solanum,tuberosum,,,,,Phytozome,v4.03,,4113,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/585473de7ded5e78cff8c439/Stuberosum_448_v4.03.protein.fa.gz
Sorghum,bicolor,,,,,Phytozome,v3.1.1,,4558,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/592f5bc37ded5e4e5bbb8e96/Sbicolor_454_v3.1.1.protein.fa.gz
Sphagnum,fallax,,,,,Phytozome,v0.5,,53036,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/55fb8fe60d8785306f968856/Sfallax_310_v0.5.protein.fa.gz
Spirodela,polyrhiza,,,,,Phytozome,v2,,29656,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56957e490d87851ee97273e7/Spolyrhiza_290_v2.protein.fa.gz
Theobroma,cacao,,,,,Phytozome,v1.1,,3641,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cce0d87851ee9727ccf/Tcacao_233_v1.1.protein.fa.gz
Trifolium,pratense,,,,,Phytozome,v2,,57577,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/575b4bc87ded5e3df1ee6be4/Tpratense_385_v2.protein.fa.gz
Triticum,aestivum,,,,,Phytozome,v2.2,,4565,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56901b920d878508e3d1fb8a/Taestivum_296_v2.2.protein.fa.gz
Vigna,unguiculata,,,,,Phytozome,v1.1,,3917,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/597f9cb67ded5e0452b3f367/Vunguiculata_469_v1.1.protein.fa.gz
Vitis,vinifera,,,,,Phytozome,Genoscope.12X,,29760,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56981cf00d87851ee9727da7/Vvinifera_145_Genoscope.12X.protein.fa.gz
Volvox,carteri,,,,,Phytozome,v2.1,,3067,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/56901bf70d878508e3d1fbc3/Vcarteri_317_v2.1.protein.fa.gz
Zea,mays,,,,,Phytozome,Ensembl-18,Ensembl,4577,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/585486997ded5e78cff8c533/Zmays_284_Ensembl-18_2010-01-MaizeSequence.protein.fa.gz
Zostera,marina,,,,,Phytozome,v2.2,,29655,https://genome.jgi.doe.gov/portal/Phytozome/download/_JAMO/5693355a0d87851ee9726ab5/Zmarina_324_v2.2.protein.fa.gz
