Name	Taxon ID	Assembly	Accession					
Ascochyta rabiei str. ArDII	5454	AscRab1.0	GCA_001630375	TRUE	Ascochyta_rabiei	GCA_001630375	AscRab1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/ascochyta_rabiei_gca_001630375/pep/Ascochyta_rabiei_gca_001630375.AscRab1.0.pep.all.fa.gz
Ascoidea rubescens DSM 1968	1344418	Ascru1	GCA_001661345	TRUE	Ascoidea_rubescens_dsm_1968	GCA_001661345	Ascru1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/ascoidea_rubescens_dsm_1968_gca_001661345/pep/Ascoidea_rubescens_dsm_1968_gca_001661345.Ascru1.pep.all.fa.gz
Ascosphaera apis ARSEF 7405	392613	AAP_1.0	GCA_001636715	TRUE	Ascosphaera_apis_arsef_7405	GCA_001636715	AAP_1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/ascosphaera_apis_arsef_7405_gca_001636715/pep/Ascosphaera_apis_arsef_7405_gca_001636715.AAP_1.0.pep.all.fa.gz
Ashbya gossypii	284811	ASM9102v1	GCA_000091025		Ashbya_gossypii		ASM9102v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/ashbya_gossypii/pep/Ashbya_gossypii.ASM9102v1.pep.all.fa.gz
Aspergillus aculeatinus CBS 121060	1448322	Aspacu1	GCA_003184765	TRUE	Aspergillus_aculeatinus_cbs_121060	GCA_003184765	Aspacu1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_aculeatinus_cbs_121060_gca_003184765/pep/Aspergillus_aculeatinus_cbs_121060_gca_003184765.Aspacu1.pep.all.fa.gz
Aspergillus aculeatus ATCC 16872	690307	Aspac1	GCA_001890905	TRUE	Aspergillus_aculeatus_atcc_16872	GCA_001890905	Aspac1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_aculeatus_atcc_16872_gca_001890905/pep/Aspergillus_aculeatus_atcc_16872_gca_001890905.Aspac1.pep.all.fa.gz
Aspergillus arachidicola str. CBS 117610	656916	ASM274980v1	GCA_002749805	TRUE	Aspergillus_arachidicola	GCA_002749805	ASM274980v1h	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_arachidicola_gca_002749805/pep/Aspergillus_arachidicola_gca_002749805.ASM274980v1.pep.all.fa.gz
Aspergillus bombycis str. NRRL26010	109264	ASM179269v1	GCA_001792695	TRUE	Aspergillus_bombycis	GCA_001792695	ASM179269v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_bombycis_gca_001792695/pep/Aspergillus_bombycis_gca_001792695.ASM179269v1.pep.all.fa.gz
Aspergillus brasiliensis CBS 101740	767769	Aspbr1	GCA_001889945	TRUE	Aspergillus_brasiliensis_cbs_101740	GCA_001889945	Aspbr1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_brasiliensis_cbs_101740_gca_001889945/pep/Aspergillus_brasiliensis_cbs_101740_gca_001889945.Aspbr1.pep.all.fa.gz
Aspergillus brunneoviolaceus CBS 621.78	1450534	Aspbru1	GCA_003184695	TRUE	Aspergillus_brunneoviolaceus_cbs_621_78	GCA_003184695	Aspbru1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_brunneoviolaceus_cbs_621_78_gca_003184695/pep/Aspergillus_brunneoviolaceus_cbs_621_78_gca_003184695.Aspbru1.pep.all.fa.gz
Aspergillus calidoustus str. SF006504	454130	Acal_Allpaths_LG	GCA_001511075	TRUE	Aspergillus_calidoustus	GCA_001511075	Acal_Allpaths_LG	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_calidoustus_gca_001511075/pep/Aspergillus_calidoustus_gca_001511075.Acal_Allpaths_LG.pep.all.fa.gz
Aspergillus campestris IBT 28561	1392248	Aspcam1	GCA_002847485	TRUE	Aspergillus_campestris_ibt_28561	GCA_002847485	Aspcam1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_campestris_ibt_28561_gca_002847485/pep/Aspergillus_campestris_ibt_28561_gca_002847485.Aspcam1.pep.all.fa.gz
Aspergillus candidus str. CBS 102.13	41067	Aspcand1	GCA_002847045	TRUE	Aspergillus_candidus	GCA_002847045	Aspcand1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_candidus_gca_002847045/pep/Aspergillus_candidus_gca_002847045.Aspcand1.pep.all.fa.gz
Aspergillus carbonarius ITEM 5010	602072	Aspca3	GCA_001990825	TRUE	Aspergillus_carbonarius_item_5010	GCA_001990825	Aspca3	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_carbonarius_item_5010_gca_001990825/pep/Aspergillus_carbonarius_item_5010_gca_001990825.Aspca3.pep.all.fa.gz
Aspergillus clavatus NRRL 1	344612	ASM271v1	GCA_000002715		Aspergillus_clavatus		ASM271v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/aspergillus_clavatus/pep/Aspergillus_clavatus.ASM271v1.pep.all.fa.gz
Aspergillus cristatus str. GZAAS20.1005	573508	ASM171748v1	GCA_001717485	TRUE	Aspergillus_cristatus	GCA_001717485	ASM171748v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_cristatus_gca_001717485/pep/Aspergillus_cristatus_gca_001717485.ASM171748v1.pep.all.fa.gz
Aspergillus ellipticus CBS 707.79	1448320	Aspell1	GCA_003184645	TRUE	Aspergillus_ellipticus_cbs_707_79	GCA_003184645	Aspell1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_ellipticus_cbs_707_79_gca_003184645/pep/Aspergillus_ellipticus_cbs_707_79_gca_003184645.Aspell1.pep.all.fa.gz
Aspergillus eucalypticola CBS 122712	1448314	Aspeuc1	GCA_003184535	TRUE	Aspergillus_eucalypticola_cbs_122712	GCA_003184535	Aspeuc1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_eucalypticola_cbs_122712_gca_003184535/pep/Aspergillus_eucalypticola_cbs_122712_gca_003184535.Aspeuc1.pep.all.fa.gz
Aspergillus fischeri NRRL 181	331117	ASM14964v1	GCA_000149645	TRUE	Neosartorya_fischeri		ASM14964v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/neosartorya_fischeri/pep/Neosartorya_fischeri.ASM14964v1.pep.all.fa.gz
Aspergillus flavus AF70	1392242	ASM95283v1	GCA_000952835	TRUE	Aspergillus_flavus_af70	GCA_000952835	ASM95283v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota2_collection/aspergillus_flavus_af70_gca_000952835/pep/Aspergillus_flavus_af70_gca_000952835.ASM95283v1.pep.all.fa.gz
Aspergillus flavus NRRL3357	332952	JCVI-afl1-v2.0	GCA_000006275	TRUE	Aspergillus_flavus		JCVI-afl1-v2.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/aspergillus_flavus/pep/Aspergillus_flavus.JCVI-afl1-v2.0.pep.all.fa.gz
Aspergillus fumigatus	746128	ASM223498v1	GCA_002234985	TRUE	Aspergillus_fumigatus	GCA_002234985	ASM223498v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_fumigatus_gca_002234985/pep/Aspergillus_fumigatus_gca_002234985.ASM223498v1.pep.all.fa.gz
Aspergillus fumigatus A1163	451804	ASM15014v1	GCA_000150145	TRUE	Aspergillus_fumigatusa1163		ASM15014v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/aspergillus_fumigatusa1163/pep/Aspergillus_fumigatusa1163.ASM15014v1.pep.all.fa.gz
Aspergillus fumigatus Af293	330879	ASM265v1	GCA_000002655	TRUE	Aspergillus_fumigatus		ASM265v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/aspergillus_fumigatus/pep/Aspergillus_fumigatus.ASM265v1.pep.all.fa.gz
Aspergillus fumigatus Z5	1437362	ASM102932v1	GCA_001029325	TRUE	Aspergillus_fumigatus_z5	GCA_001029325	ASM102932v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_fumigatus_z5_gca_001029325/pep/Aspergillus_fumigatus_z5_gca_001029325.ASM102932v1.pep.all.fa.gz
Aspergillus fumigatus var. RP-2014	1476192	AspFumNiv1.0	GCA_000731615	TRUE	Aspergillus_fumigatus_var_rp_2014	GCA_000731615	AspFumNiv1.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota1_collection/aspergillus_fumigatus_var_rp_2014_gca_000731615/pep/Aspergillus_fumigatus_var_rp_2014_gca_000731615.AspFumNiv1.0.pep.all.fa.gz
Aspergillus glaucus CBS 516.65	1160497	Aspgl1	GCA_001890805	TRUE	Aspergillus_glaucus_cbs_516_65	GCA_001890805	Aspgl1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_glaucus_cbs_516_65_gca_001890805/pep/Aspergillus_glaucus_cbs_516_65_gca_001890805.Aspgl1.pep.all.fa.gz
Aspergillus heteromorphus CBS 117.55	1448321	Asphet1	GCA_003184545	TRUE	Aspergillus_heteromorphus_cbs_117_55	GCA_003184545	Asphet1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_heteromorphus_cbs_117_55_gca_003184545/pep/Aspergillus_heteromorphus_cbs_117_55_gca_003184545.Asphet1.pep.all.fa.gz
Aspergillus indologenus CBS 114.80	1450541	Aspind1	GCA_003184685	TRUE	Aspergillus_indologenus_cbs_114_80	GCA_003184685	Aspind1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_indologenus_cbs_114_80_gca_003184685/pep/Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1.pep.all.fa.gz
Aspergillus japonicus CBS 114.51	1448312	Aspjap1	GCA_003184785	TRUE	Aspergillus_japonicus_cbs_114_51	GCA_003184785	Aspjap1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_japonicus_cbs_114_51_gca_003184785/pep/Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.pep.all.fa.gz
Aspergillus lacticoffeatus CBS 101883	1450533	Asplac1	GCA_003184595	TRUE	Aspergillus_lacticoffeatus_cbs_101883	GCA_003184595	Asplac1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_lacticoffeatus_cbs_101883_gca_003184595/pep/Aspergillus_lacticoffeatus_cbs_101883_gca_003184595.Asplac1.pep.all.fa.gz
Aspergillus lentulus	293939	Alt_assembly01	GCA_001445615	TRUE	Aspergillus_lentulus	GCA_001445615	Alt_assembly01	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_lentulus_gca_001445615/pep/Aspergillus_lentulus_gca_001445615.Alt_assembly01.pep.all.fa.gz
Aspergillus luchuensis CBS 106.47	1137211	Aspfo1	GCA_001890685	TRUE	Aspergillus_luchuensis_cbs_106_47	GCA_001890685	Aspfo1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_luchuensis_cbs_106_47_gca_001890685/pep/Aspergillus_luchuensis_cbs_106_47_gca_001890685.Aspfo1.pep.all.fa.gz
Aspergillus luchuensis str. RIB 2604	1069201	AspL_2604	GCA_001602395	TRUE	Aspergillus_luchuensis	GCA_001602395	AspL_2604	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_luchuensis_gca_001602395/pep/Aspergillus_luchuensis_gca_001602395.AspL_2604.pep.all.fa.gz
Aspergillus neoniger CBS 115656	1448310	Aspneo1	GCA_003184625	TRUE	Aspergillus_neoniger_cbs_115656	GCA_003184625	Aspneo1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_neoniger_cbs_115656_gca_003184625/pep/Aspergillus_neoniger_cbs_115656_gca_003184625.Aspneo1.pep.all.fa.gz
Aspergillus nidulans	227321	ASM1142v1	GCA_000011425	TRUE	Aspergillus_nidulans		ASM1142v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/aspergillus_nidulans/pep/Aspergillus_nidulans.ASM1142v1.pep.all.fa.gz
Aspergillus nidulans FGSC A4	227321	ASM14920v2	GCA_000149205	TRUE	Aspergillus_nidulans_fgsc_a4	GCA_000149205	ASM14920v2	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota2_collection/aspergillus_nidulans_fgsc_a4_gca_000149205/pep/Aspergillus_nidulans_fgsc_a4_gca_000149205.ASM14920v2.pep.all.fa.gz
Aspergillus niger	5061	ASM285v2	GCA_000002855	TRUE	Aspergillus_niger		ASM285v2	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/aspergillus_niger/pep/Aspergillus_niger.ASM285v2.pep.all.fa.gz
Aspergillus niger	5061	ASM151534v1	GCA_001515345	TRUE	Aspergillus_niger	GCA_001515345	ASM151534v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_niger_gca_001515345/pep/Aspergillus_niger_gca_001515345.ASM151534v1.pep.all.fa.gz
Aspergillus niger	5061	Aniger_ATCC_64974_N402	GCA_900248155	TRUE	Aspergillus_niger	GCA_900248155	Aniger_ATCC_64974_N402	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_niger_gca_900248155/pep/Aspergillus_niger_gca_900248155.Aniger_ATCC_64974_N402.pep.all.fa.gz
Aspergillus niger ATCC 1015	380704	ASPNI_v3.0	GCA_000230395	TRUE	Aspergillus_niger_atcc_1015	GCA_000230395	ASPNI_v3.0	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota1_collection/aspergillus_niger_atcc_1015_gca_000230395/pep/Aspergillus_niger_atcc_1015_gca_000230395.ASPNI_v3.0.pep.all.fa.gz
Aspergillus nomius NRRL 13137	1509407	ASM120477v1	GCA_001204775	TRUE	Aspergillus_nomius_nrrl_13137	GCA_001204775	ASM120477v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_nomius_nrrl_13137_gca_001204775/pep/Aspergillus_nomius_nrrl_13137_gca_001204775.ASM120477v1.pep.all.fa.gz
Aspergillus novofumigatus IBT 16806	1392255	Aspnov1	GCA_002847465	TRUE	Aspergillus_novofumigatus_ibt_16806	GCA_002847465	Aspnov1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_novofumigatus_ibt_16806_gca_002847465/pep/Aspergillus_novofumigatus_ibt_16806_gca_002847465.Aspnov1.pep.all.fa.gz
Aspergillus ochraceoroseus IBT 24754	1392256	Aspergillus_ochraceoroseus_IBT_24754_v1.1	GCA_002846915	TRUE	Aspergillus_ochraceoroseus_ibt_24754	GCA_002846915	Aspergillus_ochraceoroseus_IBT_24754_v1.1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_ochraceoroseus_ibt_24754_gca_002846915/pep/Aspergillus_ochraceoroseus_ibt_24754_gca_002846915.Aspergillus_ochraceoroseus_IBT_24754_v1.1.pep.all.fa.gz
Aspergillus ochraceoroseus str. SRRC1432	138278	ASM98666v1	GCA_000986665	TRUE	Aspergillus_ochraceoroseus	GCA_000986665	ASM98666v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota2_collection/aspergillus_ochraceoroseus_gca_000986665/pep/Aspergillus_ochraceoroseus_gca_000986665.ASM98666v1.pep.all.fa.gz
Aspergillus oryzae 100-8	1197718	Aspergillus_oryzae_100-8	GCA_000691885	TRUE	Aspergillus_oryzae_100_8	GCA_000691885	Aspergillus_oryzae_100-8	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota1_collection/aspergillus_oryzae_100_8_gca_000691885/pep/Aspergillus_oryzae_100_8_gca_000691885.Aspergillus_oryzae_100-8.pep.all.fa.gz
Aspergillus oryzae 3.042	1160506	AspOry3042	GCA_000269785	TRUE	Aspergillus_oryzae_3_042	GCA_000269785	AspOry3042	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota1_collection/aspergillus_oryzae_3_042_gca_000269785/pep/Aspergillus_oryzae_3_042_gca_000269785.AspOry3042.pep.all.fa.gz
Aspergillus oryzae RIB40	510516	ASM18445v3	GCA_000184455	TRUE	Aspergillus_oryzae		ASM18445v3	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/aspergillus_oryzae/pep/Aspergillus_oryzae.ASM18445v3.pep.all.fa.gz
Aspergillus oryzae str. BCC7051	5062	ASM200794v1	GCA_002007945	TRUE	Aspergillus_oryzae	GCA_002007945	ASM200794v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_oryzae_gca_002007945/pep/Aspergillus_oryzae_gca_002007945.ASM200794v1.pep.all.fa.gz
Aspergillus parasiticus SU-1	1403190	ASM95608v1	GCA_000956085	TRUE	Aspergillus_parasiticus_su_1	GCA_000956085	ASM95608v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota3_collection/aspergillus_parasiticus_su_1_gca_000956085/pep/Aspergillus_parasiticus_su_1_gca_000956085.ASM95608v1.pep.all.fa.gz
Aspergillus piperis CBS 112811	1448313	Asppip1	GCA_003184755	TRUE	Aspergillus_piperis_cbs_112811	GCA_003184755	Asppip1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota4_collection/aspergillus_piperis_cbs_112811_gca_003184755/pep/Aspergillus_piperis_cbs_112811_gca_003184755.Asppip1.pep.all.fa.gz
Aspergillus rambellii str. SRRC1468	308745	ASM98664v1	GCA_000986645	TRUE	Aspergillus_rambellii	GCA_000986645	ASM98664v1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota2_collection/aspergillus_rambellii_gca_000986645/pep/Aspergillus_rambellii_gca_000986645.ASM98664v1.pep.all.fa.gz
Aspergillus ruber CBS 135680	1388766	Eurhe1	GCA_000600275	TRUE	Aspergillus_ruber_cbs_135680	GCA_000600275	Eurhe1	ftp://ftp.ensemblgenomes.org/pub/release-44/fungi/fasta/fungi_ascomycota1_collection/aspergillus_ruber_cbs_135680_gca_000600275/pep/Aspergillus_ruber_cbs_135680_gca_000600275.Eurhe1.pep.all.fa.gz
