Name,NCBI Tax ID,JGI ID,Version,Publication,
Aphanobasidium pseudotsugae OMC1630,693291,Aphpse1,v1.0,,https://genome.jgi.doe.gov/portal/Aphpse1/download/Aphpse1_GeneCatalog_proteins_20180917.aa.fasta.gz
Apiosordaria backusii CBS 540.89,314023,Apibac1,v1.0,,https://genome.jgi.doe.gov/portal/Apibac1/download/Apibac1_GeneCatalog_proteins_20170729.aa.fasta.gz
Apiospora montagnei NRRL 25634,1149870,Apimo1,v1.0,,https://genome.jgi.doe.gov/portal/Apimo1/download/Apimo1_GeneCatalog_proteins_20120813.aa.fasta.gz
Aplosporella prunicola CBS 121.167,1176127,Aplpr1,v1.0,,https://genome.jgi.doe.gov/portal/Aplpr1/download/Aplpr1_GeneCatalog_proteins_20121211.aa.fasta.gz
Apodospora peruviana CBS 118394,516989,Apope1,v1.0,,https://genome.jgi.doe.gov/portal/Apope1/download/Apope1_GeneCatalog_proteins_20171021.aa.fasta.gz
Aporpium caryae L-13461,1397355,Elmca1,,,https://genome.jgi.doe.gov/portal/Elmca1/download/Elmca1_GeneCatalog_proteins_20140827.aa.fasta.gz
Armillaria borealis FPL87.14,47425,Armbor1,v1.0,,https://genome.jgi.doe.gov/portal/Armbor1/download/Armbor1_GeneCatalog_proteins_20181102.aa.fasta.gz
Armillaria cepistipes B5,47426,Armcep1,,PMID:29085064,https://genome.jgi.doe.gov/portal/Armcep1/download/Armcep1_GeneCatalog_proteins_20170112.aa.fasta.gz
Armillaria ectypa FPL83.16,47430,Armect1,v1.0,,https://genome.jgi.doe.gov/portal/Armect1/download/Armect1_GeneCatalog_proteins_20180530.aa.fasta.gz
Armillaria luteobubalina HWK02,153913,Armlut1,v1.0,,https://genome.jgi.doe.gov/portal/Armlut1/download/Armlut1_GeneCatalog_proteins_20180531.aa.fasta.gz
Armillaria mellea DSM 3731,1314977,Armme1_1,,PMID:23656496,https://genome.jgi.doe.gov/portal/Armme1_1/download/Armme1_1_GeneCatalog_proteins_20140802.aa.fasta.gz
Armillaria mellea ELDO17,47429,Armmel1,v1.0,,https://genome.jgi.doe.gov/portal/Armmel1/download/Armmel1_GeneCatalog_proteins_20190531.aa.fasta.gz
Armillaria nabsnona CMW6904,64368,Armnab1,v1.0,,https://genome.jgi.doe.gov/portal/Armnab1/download/Armnab1_GeneCatalog_proteins_20180526.aa.fasta.gz
Armillaria tabescens CCBAS 213,47431,Armtab1,v1.0,,https://genome.jgi.doe.gov/portal/Armtab1/download/Armtab1_GeneCatalog_proteins_20180816.aa.fasta.gz
Arthroascus fermentans 17710,53486,Artfe1_2,v1.0,,https://genome.jgi.doe.gov/portal/Artfe1_2/download/Artfe1_2_GeneCatalog_proteins_20150912.aa.fasta.gz
Arthroderma benhamiae CBS 112371,663331,Artbe1,,PMID:21247460,https://genome.jgi.doe.gov/portal/Artbe1/download/Artbe1_GeneCatalog_proteins_20131209.aa.fasta.gz
Artolenzites elegans CIRM-BRFM 1663,526244,Artel1,v1.0,,https://genome.jgi.doe.gov/portal/Artel1/download/Artel1_GeneCatalog_proteins_20140630.aa.fasta.gz
Ascobolus immersus RN42,1160509,Ascim1,v1.0,PMID:30420746,https://genome.jgi.doe.gov/portal/Ascim1/download/Ascim1_GeneCatalog_proteins_20121221.aa.fasta.gz
Ascocoryne sarcoides NRRL50072,1016881,Ascsa1,,PMID:22396667,https://genome.jgi.doe.gov/portal/Ascsa1/download/Ascsa1_GeneCatalog_proteins_20140116.aa.fasta.gz
Ascodesmis nigricans CBS 389.68,341454,Ascni1,v1.0,,https://genome.jgi.doe.gov/portal/Ascni1/download/Ascni1_GeneCatalog_proteins_20141120.aa.fasta.gz
Ascoidea rubescens NRRL Y17699,983968,Ascru1,v1.0,PMID:27535936,https://genome.jgi.doe.gov/portal/Ascru1/download/Ascru1_GeneCatalog_proteins_20111107.aa.fasta.gz
Aspergillus acristatulus CBS 119.55,286159,Aspacri1,v1.0,,https://genome.jgi.doe.gov/portal/Aspacri1/download/Aspacri1_GeneCatalog_proteins_20160412.aa.fasta.gz
Aspergillus albertensis,41046,Aspalbe1,v1.0,,https://genome.jgi.doe.gov/portal/Aspalbe1/download/Aspalbe1_GeneCatalog_proteins_20160720.aa.fasta.gz
Aspergillus amylovorus CBS 600.67,176161,Aspamy1,v1.0,,https://genome.jgi.doe.gov/portal/Aspamy1/download/Aspamy1_GeneCatalog_proteins_20160516.aa.fasta.gz
Aspergillus avenaceus IBT 18842,36643,Aspave1,v1.0,,https://genome.jgi.doe.gov/portal/Aspave1/download/Aspave1_GeneCatalog_proteins_20160920.aa.fasta.gz
Aspergillus bertholletius IBT 29228,1226010,Aspber1,v1.0,,https://genome.jgi.doe.gov/portal/Aspber1/download/Aspber1_GeneCatalog_proteins_20160916.aa.fasta.gz
Aspergillus bisporus CBS 707.71,41753,Aspbisp1,v1.0,,https://genome.jgi.doe.gov/portal/Aspbisp1/download/Aspbisp1_GeneCatalog_proteins_20160414.aa.fasta.gz
Aspergillus brasiliensis,319629,Aspbr1,v1.0,PMID:28196534,https://genome.jgi.doe.gov/portal/Aspbr1/download/Aspbr1_GeneCatalog_proteins_20120615.aa.fasta.gz
Aspergillus brevijanus CBS 111.46,176172,Aspbrev1,v1.0,,https://genome.jgi.doe.gov/portal/Aspbrev1/download/Aspbrev1_GeneCatalog_proteins_20160412.aa.fasta.gz
Aspergillus caelatus CBS 763.97,61420,Aspcae1,v1.0,,https://genome.jgi.doe.gov/portal/Aspcae1/download/Aspcae1_GeneCatalog_proteins_20160916.aa.fasta.gz
Aspergillus carlsbadensis CBS 123894,1810906,Aspcar1,v1.0,,https://genome.jgi.doe.gov/portal/Aspcar1/download/Aspcar1_GeneCatalog_proteins_20170323.aa.fasta.gz
Aspergillus chevalieri CBS 522.65,182096,Aspchev1,v1.0,,https://genome.jgi.doe.gov/portal/Aspchev1/download/Aspchev1_GeneCatalog_proteins_20160413.aa.fasta.gz
Aspergillus coremiiformis CBS 553.77,138285,Aspcor1,v1.0,,https://genome.jgi.doe.gov/portal/Aspcor1/download/Aspcor1_GeneCatalog_proteins_20160916.aa.fasta.gz
Aspergillus costaricaensis CBS 115574,1448317,Aspcos1,v1.0,PMID:30349117,https://genome.jgi.doe.gov/portal/Aspcos1/download/Aspcos1_GeneCatalog_proteins_20141208.aa.fasta.gz
Aspergillus desertorum CBS 653.73,1810909,Aspdese1,v1.0,,https://genome.jgi.doe.gov/portal/Aspdese1/download/Aspdese1_GeneCatalog_proteins_20160412.aa.fasta.gz
Aspergillus egyptiacus CBS 656.73,41743,Aspegy1,v1.0,,https://genome.jgi.doe.gov/portal/Aspegy1/download/Aspegy1_GeneCatalog_proteins_20170324.aa.fasta.gz
Aspergillus fijiensis CBS 313.89,1448319,Aspfij1,v1.0,PMID:30349117,https://genome.jgi.doe.gov/portal/Aspfij1/download/Aspfij1_GeneCatalog_proteins_20141130.aa.fasta.gz
Aspergillus filifera CBS 114510,447248,Aspfili1,v1.0,,https://genome.jgi.doe.gov/portal/Aspfili1/download/Aspfili1_GeneCatalog_proteins_20160412.aa.fasta.gz
Aspergillus funiculosus CBS 116.56,176168,Aspfuni1,v1.0,,https://genome.jgi.doe.gov/portal/Aspfuni1/download/Aspfuni1_GeneCatalog_proteins_20160414.aa.fasta.gz
Aspergillus glaucus,41413,Aspgl1,v1.0,PMID:28196534,https://genome.jgi.doe.gov/portal/Aspgl1/download/Aspgl1_GeneCatalog_proteins_20121005.aa.fasta.gz
Aspergillus homomorphus CBS 101889,1450537,Asphom1,v1.0,PMID:30349117,https://genome.jgi.doe.gov/portal/Asphom1/download/Asphom1_GeneCatalog_proteins_20140716.aa.fasta.gz
Aspergillus ibericus CBS 121593,1448316,Aspibe1,v1.0,PMID:30349117,https://genome.jgi.doe.gov/portal/Aspibe1/download/Aspibe1_GeneCatalog_proteins_20141129.aa.fasta.gz
Aspergillus indicus,138288,Aspind2_1,v2.0,,https://genome.jgi.doe.gov/portal/Aspind2_1/download/Aspind2_1_GeneCatalog_proteins_20160309.aa.fasta.gz
Aspergillus insolitus CBS 384.61,1131488,Aspinso1,v1.0,,https://genome.jgi.doe.gov/portal/Aspinso1/download/Aspinso1_GeneCatalog_proteins_20160413.aa.fasta.gz
Aspergillus kawachii IFO 4308,1033177,Aspka1_1,,PMID:22045919,https://genome.jgi.doe.gov/portal/Aspka1_1/download/Aspka1_1_GeneCatalog_proteins_20140116.aa.fasta.gz
Aspergillus minisclerotigenes CBS 117635,656917,Aspmin1,v1.0,,https://genome.jgi.doe.gov/portal/Aspmin1/download/Aspmin1_GeneCatalog_proteins_20160910.aa.fasta.gz
Aspergillus multicolor,41759,Aspmul1_1,v1.0,,https://genome.jgi.doe.gov/portal/Aspmul1_1/download/Aspmul1_1_GeneCatalog_proteins_20160309.aa.fasta.gz
Aspergillus neoauricomus CBS112787,1883083,Aspneoa1,v1.0,,https://genome.jgi.doe.gov/portal/Aspneoa1/download/Aspneoa1_GeneCatalog_proteins_20160629.aa.fasta.gz
Aspergillus neoechinulatus CBS120.55,2184044,Aspne1,v1.0,,https://genome.jgi.doe.gov/portal/Aspne1/download/Aspne1_GeneCatalog_proteins_20160629.aa.fasta.gz
Aspergillus nidulans,162425,Aspnid1,,PMID:22080559,https://genome.jgi.doe.gov/portal/Aspnid1/download/Aspnid1_GeneCatalog_proteins_20110130.aa.fasta.gz
Aspergillus niger (lacticoffeatus) CBS 101883,1450533,Asplac1,v1.0,PMID:30349117,https://genome.jgi.doe.gov/portal/Asplac1/download/Asplac1_GeneCatalog_proteins_20140612.aa.fasta.gz
Aspergillus niger (phoenicis Corda) Thom ATCC 13157,1353007,Aspph1,v1.0,PMID:30349117,https://genome.jgi.doe.gov/portal/Aspph1/download/Aspph1_GeneCatalog_proteins_20140307.aa.fasta.gz
Aspergillus niger CBS 513.88,425011,Aspni_DSM_1,,PMID:17259976,https://genome.jgi.doe.gov/portal/Aspni_DSM_1/download/Aspni_DSM_1_GeneCatalog_proteins_20130526.aa.fasta.gz
Aspergillus niger NRRL3,1451139,Aspni_NRRL3_1,,PMID:30349117,https://genome.jgi.doe.gov/portal/Aspni_NRRL3_1/download/Aspni_NRRL3_1_GeneCatalog_proteins_20140311.aa.fasta.gz
Aspergillus niger van Tieghem ATCC 13496,1353008,Aspni_bvT_1,v1.0,PMID:30349117,https://genome.jgi.doe.gov/portal/Aspni_bvT_1/download/Aspni_bvT_1_GeneCatalog_proteins_20140302.aa.fasta.gz
Aspergillus nomius IBT 12657,41061,Aspnom1,v1.0,,https://genome.jgi.doe.gov/portal/Aspnom1/download/Aspnom1_GeneCatalog_proteins_20160910.aa.fasta.gz
Aspergillus nomius NRRL 13137,1509407,Aspnom13137_1,,PMID:26216546,https://genome.jgi.doe.gov/portal/Aspnom13137_1/download/Aspnom13137_1_GeneCatalog_proteins_20160919.aa.fasta.gz
Aspergillus novoparasiticus CBS 126849,986946,Aspnovo1,v1.0,,https://genome.jgi.doe.gov/portal/Aspnovo1/download/Aspnovo1_GeneCatalog_proteins_20160816.aa.fasta.gz
Aspergillus olivicola,1250372,Aspoli1_1,v1.0,,https://genome.jgi.doe.gov/portal/Aspoli1_1/download/Aspoli1_1_GeneCatalog_proteins_20160309.aa.fasta.gz
Aspergillus parasiticus CBS 117618,5067,Asppar1,v1.0,,https://genome.jgi.doe.gov/portal/Asppar1/download/Asppar1_GeneCatalog_proteins_20160724.aa.fasta.gz
Aspergillus parvulus CBS 136.61,41750,Aspparv1,v1.0,,https://genome.jgi.doe.gov/portal/Aspparv1/download/Aspparv1_GeneCatalog_proteins_20160414.aa.fasta.gz
Aspergillus penicilloides CBS 540.65,41959,Asppeni1,v1.0,,https://genome.jgi.doe.gov/portal/Asppeni1/download/Asppeni1_GeneCatalog_proteins_20160413.aa.fasta.gz
Aspergillus pseudocaelatus CBS 117616,1825620,Asppsec1,v1.0,,https://genome.jgi.doe.gov/portal/Asppsec1/download/Asppsec1_GeneCatalog_proteins_20160915.aa.fasta.gz
Aspergillus pseudonomius CBS 119388,1506151,Asppsen1,v1.0,,https://genome.jgi.doe.gov/portal/Asppsen1/download/Asppsen1_GeneCatalog_proteins_20160914.aa.fasta.gz
Aspergillus pseudotamarii CBS 117625,132259,Asppset1,v1.0,,https://genome.jgi.doe.gov/portal/Asppset1/download/Asppset1_GeneCatalog_proteins_20160915.aa.fasta.gz
Aspergillus recurvatus,41761,Asprec1_1,v1.0,,https://genome.jgi.doe.gov/portal/Asprec1_1/download/Asprec1_1_GeneCatalog_proteins_20160405.aa.fasta.gz
Aspergillus restrictus CBS 118.33,5064,Aspres1,v1.0,,https://genome.jgi.doe.gov/portal/Aspres1/download/Aspres1_GeneCatalog_proteins_20160629.aa.fasta.gz
Aspergillus robustus CBS 428.77,138281,Asprobu1,v1.0,,https://genome.jgi.doe.gov/portal/Asprobu1/download/Asprobu1_GeneCatalog_proteins_20160413.aa.fasta.gz
Aspergillus roseoglobulosus CBS112800,1250373,Aspros1,v1.0,,https://genome.jgi.doe.gov/portal/Aspros1/download/Aspros1_GeneCatalog_proteins_20160629.aa.fasta.gz
Aspergillus sclerotiorum CBS 549.65,138282,Aspsc1,v1.0,,https://genome.jgi.doe.gov/portal/Aspsc1/download/Aspsc1_GeneCatalog_proteins_20160516.aa.fasta.gz
Aspergillus sergii CBS 130017,1034303,Aspser1,v1.0,,https://genome.jgi.doe.gov/portal/Aspser1/download/Aspser1_GeneCatalog_proteins_20160915.aa.fasta.gz
Aspergillus stella-maris CBS 113639,1810926,Aspstel1_1,v1.0,,https://genome.jgi.doe.gov/portal/Aspstel1_1/download/Aspstel1_1_GeneCatalog_proteins_20160404.aa.fasta.gz
Aspergillus stercoraria CBS 428.93,1883081,Aspstec1_1,v1.0,,https://genome.jgi.doe.gov/portal/Aspstec1_1/download/Aspstec1_1_GeneCatalog_proteins_20160404.aa.fasta.gz
Aspergillus tamarii CBS 117626,41984,Asptam1,v1.0,,https://genome.jgi.doe.gov/portal/Asptam1/download/Asptam1_GeneCatalog_proteins_20160914.aa.fasta.gz
Aspergillus transmontanensis CBS 130015,1034304,Asptra1,v1.0,,https://genome.jgi.doe.gov/portal/Asptra1/download/Asptra1_GeneCatalog_proteins_20160915.aa.fasta.gz
Aspergillus triticus CBS266.81,478866,Asptr1,v1.0,,https://genome.jgi.doe.gov/portal/Asptr1/download/Asptr1_GeneCatalog_proteins_20160629.aa.fasta.gz
Aspergillus tubingensis,5068,Asptu1,v1.0,PMID:28196534,https://genome.jgi.doe.gov/portal/Asptu1/download/Asptu1_GeneCatalog_proteins_20120711.aa.fasta.gz
Aspergillus undulatus CBS 261.88,1810928,Aspund1_1,v1.0,,https://genome.jgi.doe.gov/portal/Aspund1_1/download/Aspund1_1_GeneCatalog_proteins_20160404.aa.fasta.gz
Aspergillus unguis CBS132.55,40381,Aspung1,v1.0,,https://genome.jgi.doe.gov/portal/Aspung1/download/Aspung1_GeneCatalog_proteins_20160614.aa.fasta.gz
Aspergillus venezuelensis CBS 868.97,1810929,Aspven1,v1.0,,https://genome.jgi.doe.gov/portal/Aspven1/download/Aspven1_GeneCatalog_proteins_20160614.aa.fasta.gz
Aspergillus versicolor,46472,Aspve1,v1.0,PMID:28196534,https://genome.jgi.doe.gov/portal/Aspve1/download/Aspve1_GeneCatalog_proteins_20120621.aa.fasta.gz
Aspergillus welwitschiae CBS139.54b,1341132,Aspwel1,v1.0,PMID:30349117,https://genome.jgi.doe.gov/portal/Aspwel1/download/Aspwel1_GeneCatalog_proteins_20160629.aa.fasta.gz
Aspergillus wentii,5066,Aspwe1,v1.0,PMID:28196534,https://genome.jgi.doe.gov/portal/Aspwe1/download/Aspwe1_GeneCatalog_proteins_20120711.aa.fasta.gz
Aspergillus zonatus,41063,Aspzo1,v1.0,PMID:28196534,https://genome.jgi.doe.gov/portal/Aspzo1/download/Aspzo1_GeneCatalog_proteins_20121010.aa.fasta.gz
Astrocystis sublimbata CBS 130006,743114,Astsub1,v1.0,,https://genome.jgi.doe.gov/portal/Astsub1/download/Astsub1_GeneCatalog_proteins_20190325.aa.fasta.gz
Atractiellales rhizophila,1938712,Atrsp2,v2.0,,https://genome.jgi.doe.gov/portal/Atrsp2/download/Atrsp2_GeneCatalog_proteins_20130826.aa.fasta.gz
Aulographum hederae,1176130,Aulhe2,v2.0,,https://genome.jgi.doe.gov/portal/Aulhe2/download/Aulhe2_GeneCatalog_proteins_20130401.aa.fasta.gz
Aureobasidium pullulans NBB 7.2.1,5580,AurpulNBB1,v1.0,,https://genome.jgi.doe.gov/portal/AurpulNBB1/download/AurpulNBB1_GeneCatalog_proteins_20190122.aa.fasta.gz
Aureobasidium pullulans var. melanogenum CBS 110374,1043003,Aurpu_var_mel1,,PMID:24984952,https://genome.jgi.doe.gov/portal/Aurpu_var_mel1/download/Aurpu_var_mel1_GeneCatalog_proteins_20130418.aa.fasta.gz
Aureobasidium pullulans var. namibiae CBS 147.97,1043004,Aurpu_var_nam1,,PMID:24984952,https://genome.jgi.doe.gov/portal/Aurpu_var_nam1/download/Aurpu_var_nam1_GeneCatalog_proteins_20130418.aa.fasta.gz
Auricularia subglabra,1331295,Aurde3_1,v2.0,PMID:22745431,https://genome.jgi.doe.gov/portal/Aurde3_1/download/Aurde3_1_GeneCatalog_proteins_20130729.aa.fasta.gz
Auriculariopsis ampla NL-1724,97359,Auramp1,v1.0,PMID:31257601,https://genome.jgi.doe.gov/portal/Auramp1/download/Auramp1_GeneCatalog_proteins_20160719.aa.fasta.gz
Auriscalpium vulgare FP105234-Sp,40419,Aurvu1,v1.0,,https://genome.jgi.doe.gov/portal/Aurvu1/download/Aurvu1_GeneCatalog_proteins_20140723.aa.fasta.gz
Backusella circina FSU 941,1314798,Bacci1,v1.0,,https://genome.jgi.doe.gov/portal/Bacci1/download/Bacci1_GeneCatalog_proteins_20130730.aa.fasta.gz
Basidioascus undulatus,1230402,Basun1,,,https://genome.jgi.doe.gov/portal/Basun1/download/Basun1_GeneCatalog_proteins_20150127.aa.fasta.gz
Benjaminiella poitrasii RSA 903,64631,Benpoi1,v1.0,,https://genome.jgi.doe.gov/portal/Benpoi1/download/Benpoi1_GeneCatalog_proteins_20180911.aa.fasta.gz
Bimuria novae-zelandiae CBS 107.79,1447943,Bimnz1,v1.0,,https://genome.jgi.doe.gov/portal/Bimnz1/download/Bimnz1_GeneCatalog_proteins_20150128.aa.fasta.gz
Biscogniauxia nummularia,97378,Bisnum1,v1.0,,https://genome.jgi.doe.gov/portal/Bisnum1/download/Bisnum1_GeneCatalog_proteins_20160826.aa.fasta.gz
Biscogniauxia sp. genotype 304 FL1348,1896107,Biscog1,v1.0,,https://genome.jgi.doe.gov/portal/Biscog1/download/Biscog1_GeneCatalog_proteins_20190325.aa.fasta.gz
Bisporella sp. PMI_857,1954211,Bissp1,v1.0,,https://genome.jgi.doe.gov/portal/Bissp1/download/Bissp1_GeneCatalog_proteins_20161122.aa.fasta.gz
Bjerkandera adusta,5331,Bjead1_1,v1.0,PMID:23935031,https://genome.jgi.doe.gov/portal/Bjead1_1/download/Bjead1_1_GeneCatalog_proteins_20110614.aa.fasta.gz
Blakeslea trispora NRRL 2456,4850,Blatri1,v1.0,,https://genome.jgi.doe.gov/portal/Blatri1/download/Blatri1_GeneCatalog_proteins_20160404.aa.fasta.gz
Blastobotrys (Arxula) adeninivorans,409370,Arxad1,,PMID:24834124,https://genome.jgi.doe.gov/portal/Arxad1/download/Arxad1_GeneCatalog_proteins_20141211.aa.fasta.gz
Blastocladiella britannica,64508,Blabri1,v1.0,,https://genome.jgi.doe.gov/portal/Blabri1/download/Blabri1_GeneCatalog_proteins_20160901.aa.fasta.gz
Blumeria graminis f. sp. hordei DH14,546991,Blugr2,,PMID:29788921,https://genome.jgi.doe.gov/portal/Blugr2/download/Blugr2_GeneCatalog_proteins_20180405.aa.fasta.gz
Blumeria graminis f. sp. hordei Race1,34373,BlugrR1_1,,PMID:29788921,https://genome.jgi.doe.gov/portal/BlugrR1_1/download/BlugrR1_1_GeneCatalog_proteins_20180503.aa.fasta.gz
Blyttiomyces helicus single-cell,388810,Blyhe1,v1.0,PMID:30297742,https://genome.jgi.doe.gov/portal/Blyhe1/download/Blyhe1_GeneCatalog_proteins_20160509.aa.fasta.gz
